make,model,colour,capacity,network,grade,condition
Alcatel,"BATTERY ALACATEL CAB2170000C1","Brand New","Brand New","Not Applicable",Black,"Not Applicable",21
Alcatel,"BATTERY ALCATEL CAB22B0000C1",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Alcatel,"BATTERY ALCATEL CAB23V0000C1","Brand New","Brand New","Not Applicable",Black,"Not Applicable",11
Alcatel,"BATTERY ALCATEL TLIB5AF","Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
Alcatel,"CCB3160A15C1 - HEADSET","Brand New","Brand New","Not Applicable",Black,"Not Applicable",10
Alcatel,"CORDLESS PHONE ALCATEL F102",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,786
Alcatel,"DABI OT-3040G","Brand New","Brand New","Not Applicable",Black,Unlocked,40
Alcatel,"GO PLAY",Non-working,Unknown,8GB,Black,NOS-Portugal,5
Alcatel,"IDOL 2",Working,"Grade A - Very Good Condition","Not Applicable",Blue,Unlocked,1
Alcatel,"IDOL 3 4.7",Working,"Grade A - Very Good Condition",8GB,Gold,Unlocked,4
Alcatel,"IDOL 3 5.5INCH",Working,"Grade A - Very Good Condition",16GB,Grey,Unlocked,7
Alcatel,"IDOL 4",Non-working,Unknown,4GB,Black,NOS-Portugal,2
Alcatel,"IDOL 4 VR Edition",Working,"Grade A - Very Good Condition",16GB,Grey,Unlocked,4
Alcatel,"IDOL MINI - 6012",Working,"Grade D",4GB,Grey,Unlocked,19
Alcatel,"IDOL MINI 2",Working,"Grade D","Not Applicable",White,Unlocked,43
Alcatel,L100V,Non-working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",36
Alcatel,LUCENT-7210SAS-D,Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",1
Alcatel,"ONE TOUCH 10.52 BLACK",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,112
Alcatel,"ONE TOUCH 1030X","Brand New","Brand New","Not Applicable",Red,Unlocked,374
Alcatel,"ONE TOUCH 20.12G CHOCOLATE","Brand New","Insurance Grade","Not Applicable","DARK CHOCOLATE",Unlocked,196
Alcatel,"ONE TOUCH 20.12G WHITE","Brand New","Insurance Grade","Not Applicable",White,Unlocked,54
Alcatel,"one touch 217d",Working,"Grade D","Not Applicable",Black,Unlocked,2
Alcatel,"ONE TOUCH 5020X",Working,"Grade B - Good Condition",4GB,Black,Unlocked,2
Alcatel,"ONE TOUCH A10-F102G","Non-working - Need Battery Cover And Battery","Grade C - Acceptable Condition","Not Applicable",Black,NOS-Portugal,23
Alcatel,"ONE TOUCH C3",Working,"Grade C - Acceptable Condition",4GB,"Bluish Black",Unlocked,2
Alcatel,"ONE TOUCH IDOL 3",Working,"Grade B - Good Condition",4GB,Silver,O2,2
Alcatel,"ONE TOUCH IDOL S",Non-working,Unknown,4GB,Grey,NOS-Portugal,1
Alcatel,"ONE TOUCH LINK Y850",Working,"Grade B - Good Condition","Not Applicable",Black,Vodafone,1
Alcatel,"ONE TOUCH OT 358",Working,"Grade B B2B","Not Applicable",White,Unlocked,2
Alcatel,"ONE TOUCH PIXI FIRST 4024D",Non-working,Unknown,4GB,Grey,Damaged,1
Alcatel,"ONE TOUCH POCKET","Non-working - Need Battery Cover And Battery","Grade A - Very Good Condition",2GB,Blue,NOS-Portugal,9
Alcatel,"ONE TOUCH POP 3(5) 5054X",Working,"Grade B - Good Condition",8GB,Silver,Unlocked,20
Alcatel,"ONE TOUCH POP D1",Working,"Grade D","Not Applicable",Blue,Unlocked,1
Alcatel,"ONE TOUCH POP STAR BATTERY COVER",Working,"Insurance Grade","Not Applicable",Gold,"Not Applicable",30
Alcatel,"ONE TOUCH Y800Z",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",15
Alcatel,"ONE TOUCH Y800Z - WITH DOCK",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,5
Alcatel,"ONETOUCH 668",Working,"Grade B B2B","Not Applicable",Black,Unlocked,1
Alcatel,"ONETOUCH A 10 UE",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Alcatel,"ONETOUCH A 10 UEC",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,5
Alcatel,"ONETOUCH A 10 UK",Working,"Grade B B2B","Not Applicable",Black,Unlocked,11
Alcatel,"ONETOUCH A 10 UKC",Working,"Grade B B2B","Not Applicable",Black,Unlocked,13
Alcatel,"onetouch Ev07",Working,"Grade A - Very Good Condition",1GB,Black,Unlocked,69
Alcatel,"ot 209",Working,"Grade D","Not Applicable",Black,Unlocked,1
Alcatel,"OT 292","Brand New","Insurance Grade","Not Applicable",White,Unlocked,2
Alcatel,"OT 3040",Working,"Grade A - Very Good Condition","Not Applicable",White,Unlocked,21
Alcatel,"OT 355",Working,"Grade A - Very Good Condition","Not Applicable",Silver,Unlocked,4
Alcatel,"OT 4010x","Working - Need Battery Cover","Grade C - Acceptable Condition","Not Applicable",Blue,Tesco-Mobile,5
Alcatel,"OT 4030","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,8
Alcatel,"ot 602",Working,"Grade B - Good Condition","Not Applicable",Pink,Unlocked,117
Alcatel,"ot 665","Brand New","Insurance Grade","Not Applicable",White,Unlocked,25
Alcatel,"OT 800 One Touch Tribe",Working,"Grade B - Good Condition","Not Applicable",Black,Virgin,1
Alcatel,"OT IDOL 6030X","Non-working - Need Repair - Software","Grade B - Good Condition",2GB,Silver,NOS-Portugal,3
Alcatel,"OT PIXI 8 I220",Working,"Grade A - Very Good Condition",4GB,Black,"Not Applicable",7
Alcatel,"OT POP D3",Working,"Grade C - Acceptable Condition",4GB,Blue,Unlocked,1
Alcatel,"OT S210","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Alcatel,"OT S211",Working,"Not Graded","Not Applicable",Black,NOS-Portugal,3
Alcatel,"OT X230","Brand New","Insurance Grade","Not Applicable",Black,Orange,12
Alcatel,OT-1060,"Non-working - Need Battery Cover","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,3
Alcatel,OT-2004C,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,75
Alcatel,OT-2012,Working,"Grade B - Good Condition","Not Applicable","DARK CHOCOLATE",Unlocked,13
Alcatel,OT-306,"Non-working - Need Battery Cover And Battery","Grade C - Acceptable Condition","Not Applicable",White,Unlocked,29
Alcatel,OT-916,Working,"Grade A - Very Good Condition","Not Applicable",Silver,NOS-Portugal,1
Alcatel,OT-995,"Brand New","Insurance Grade","Not Applicable",Black,Unlocked,40
Alcatel,OT1010,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,21
Alcatel,OT1046,Working,"Grade B B2B","Not Applicable",Black,Unlocked,12
Alcatel,OT2001,Working,"Grade B B2B","Not Applicable",Black,Unlocked,9
Alcatel,OT2004C,BER,"Grade A - Very Good Condition","Not Applicable",Black,Damaged,25
Alcatel,OT2012,Working,"Grade B - Good Condition","Not Applicable","DARK CHOCOLATE",Unlocked,6
Alcatel,OT292,BER,"Grade D","Not Applicable",Black,Damaged,7
Alcatel,ot4030x,"Non-working - Unlock",Unknown,4GB,Black,NOS-Portugal,1
Alcatel,"PACK  ALCATEL OT-213",Working,"Not Graded","Not Applicable",Black,NOS-Portugal,4
Alcatel,"PACK ALCATEL OT-355",Working,"Grade A - Very Good Condition","Not Applicable",Silver,Unlocked,1
Alcatel,"PACK ALCATEL OT-908 FACEBOOK PINK",Working,"Not Graded","Not Applicable",Burgundy,NOS-Portugal,3
Alcatel,"PIXI 3 (3.5)","Brand New","Brand New","Not Applicable",Black,Unlocked,325
Alcatel,"PIXI 3 (4)",Working,"Grade C - Acceptable Condition","Not Applicable",White,Unlocked,311
Alcatel,"PIXI 3 4.5",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,93
Alcatel,"PIXI 3 7INCH ",Non-working,"Grade C - Acceptable Condition",4GB,White,"Not Applicable",3
Alcatel,"PIXI 3 8INCH TAB S",Working,"Grade B B2B",4GB,Black,"Unlocked (O2)",5
Alcatel,"PIXI 3 TAB 7INCH ",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unknown,96
Alcatel,"PIXI 4 - BACK COVER","Brand New","Brand New","Not Applicable",Orange,"Not Applicable",10
Alcatel,"PIXI 4 4034X",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,121
Alcatel,"PIXI 4 5010X",Working,"Grade B - Good Condition",8GB,Black,Unlocked,43
Alcatel,"PIXI 4 5045X",Working,"Grade B - Good Condition",4GB,Black,O2,7
Alcatel,"PIXI 4 TAB 7 INCH",Working,"Grade A - Very Good Condition",8GB,White,"Not Applicable",29
Alcatel,"PIXI 7",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",16
Alcatel,"PIXI3 (4.5)",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,105
Alcatel,"POP 3 (5.0)",Working,"Grade C - Acceptable Condition",8GB,Gold,Unlocked,12
Alcatel,"POP 3 (5.5\")",Working,"Grade B - Good Condition",8GB,Silver,Unlocked,3
Alcatel,"POP 4 5051D",Non-working,Unknown,8GB,Grey,Unlocked,55
Alcatel,"POP 4 5051X",Working,"Grade B B2B",8GB,Grey,O2,100
Alcatel,"POP 4+ 5056X","Brand New","Insurance Grade",16GB,Gold,Unlocked,18
Alcatel,"POP C1",Non-working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,11
Alcatel,"POP C1 4015X",BER,"Grade D",2GB,Blue,"Not Applicable",12
Alcatel,"POP C1 HELLO KITTY","Brand New","Insurance Grade",4GB,White,Unlocked,1
Alcatel,"POP C7",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,4
Alcatel,"POP S3",Working,"Grade C - Acceptable Condition","Not Applicable",Grey,Unlocked,5
Alcatel,"POP STAR",Non-working,Unknown,8GB,Silver,Damaged,1
Alcatel,"POP2 5042X","Power On Tested-Broken LCD","Grade C - Acceptable Condition",8GB,Black,Damaged,1
Alcatel,"SAN REMO MINI OT6012",Working,"Grade B - Good Condition",4GB,Blue,Unlocked,6
Alcatel,"SIRU 5050X","Brand New","Insurance Grade",2GB,"Bluish Black",Unlocked,34
Alcatel,TPOP,"Brand New","Insurance Grade","Not Applicable",Pink,Unlocked,3
Alcatel,U5,Working,"Grade B - Good Condition",8GB,Black,Unlocked,1
Alcatel,VM575,"Brand New","Insurance Grade","Not Applicable",White,Unlocked,3
Alcatel,VM585,Working,"Grade C - Acceptable Condition","Not Applicable",Red,Unlocked,11
Alcatel,"Y800 PORTABLE WIFI",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,40
"ALLOY PRODUCTS CORP","AUTOCLAVE PRESSURE VESSEL + CONTROL PANEL",Working,"Insurance Grade",Unknown,White,"Not Applicable",1
"ALTEC LANSING","OCTIVE 102","Brand New","Brand New","Not Applicable",Black,"Not Applicable",13
ALTIUS,T08,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Amazon," Kindle Fire HDX 8.9","Brand New","Brand New","Not Applicable",Black,"Not Applicable",12
Amazon,"FIRE 7",Non-working,Unknown,8GB,Black,"Not Applicable",1
Amazon,"FIRE HD 6\" 4TH GEN 8GB BLACK PW98VM TABLET","Non-working - Need Repair - HardWare",Unknown,8GB,Black,"Not Applicable",1
Amazon,"kindle D01100",Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",2
Amazon,"Kindle Fire",Working,"Grade C - Acceptable Condition",8GB,Black,"Not Applicable",3
Amazon,"Kindle Fire HDX 7",Working,"Grade C - Acceptable Condition",2GB,Black,"Not Applicable",2
Amazon,"KINDLE PAPERWHITE  6\" 5TH GEN",BER-Scrap,"Grade C - Acceptable Condition",4GB,Black,"Not Applicable",2
Amazon,"Kindle Paperwhite 6\" 2ND gEN",Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",1
Amazon,PREMIUM,"Brand New","Brand New","Not Applicable",Black,"Not Applicable",3
"AMD RADEON",3450,Working,"Grade B - Good Condition",256MB,Red,"Not Applicable",42
"AMD RADEON",3470,Working,"Grade B - Good Condition",256MB,Red,"Not Applicable",1
"AMD RADEON",350X,Working,"Grade B - Good Condition",4GB,Green,"Not Applicable",10
"AMD RADEON","HD 6450",Working,"Grade B - Good Condition",1GB,Blue,"Not Applicable",13
"AMD RADEON","HD 7470",Working,"Grade B - Good Condition",1GB,Green,"Not Applicable",16
"AMD RADEON","HD 7570",Working,"Grade B - Good Condition",1GB,Green,"Not Applicable",1
"AMD RADEON","R5 240 ",Working,"Grade B - Good Condition",1GB,Green,"Not Applicable",6
"AMD RADEON","R7 240",Working,"Grade B - Good Condition",2GB,Green,"Not Applicable",6
Apple," iPad 3 16GB WiFi 4G","Power On Tested-Good LCD",Unknown,16GB,White,Unknown,4
Apple," iPad 4 16GB WiFi",Working,"Grade C - Acceptable Condition",16GB,Grey,Unlocked,2
Apple," IPhone 4 16GB Unlocked",Working,"Grade C - Acceptable Condition",16GB,Black,Unlocked,4
Apple," IPhone 4s 16GB Unlocked","Brand New","Insurance Grade",16GB,Black,Unlocked,5
Apple," iPod Touch 2nd Gen 8G",Working,"Grade C - Acceptable Condition",8GB,Silver,NOS-Portugal,4
Apple," iPod Touch 64GB 4th gen",Working,"Grade C - Acceptable Condition",8GB,Grey,"Not Applicable",1
Apple,"-- DO NOT USE -- IPHONE 7 LEATHER CASE MMY52ZM/A",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",7
Apple,"-- DO NOT USE -- SMART COVER FOR IPAD MINI - MF059ZM/A","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",5
Apple,AIRPODS,Working,"Insurance Grade","Not Applicable",White,"Not Applicable",40
Apple,"CASE FOR IPHONE 5C","Brand New","Brand New","Not Applicable",Yellow,"Not Applicable",3
Apple,"CASE FOR IPHONE 5S MF045ZM",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",4
Apple,"EARPHONES WITH REMOTE AND MIC MB770G/B","Brand New","Brand New","Not Applicable",White,"Not Applicable",2
Apple,EARPODS,"Brand New","Brand New","Not Applicable",White,"Not Applicable",115
Apple,"EARPODS - LIGHTNING CONNECTOR",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",78
Apple,"EARPODS - LIGHTNING CONNECTOR - FBA UK","Brand New","Brand New","Not Applicable",White,"Not Applicable",9
Apple,"EARPODS 3.5MM -  MNHF2ZM/A",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",18
Apple,"EARPODS MD827ZM/B",Working,"Insurance Grade","Not Applicable",White,"Not Applicable",24
Apple,"IMAC 21\" A1174",Working,"Grade C - Acceptable Condition",2GB,White,"Not Applicable",1
Apple,"IPAD (5TH GENERATION) WI-FI 9.7 32GB A1822",Working,"Grade A - Very Good Condition",32GB,Grey,"Not Applicable",2
Apple,"iPad 16gb with Wi-Fi + 3G A1337",Working,"Grade C - Acceptable Condition",16GB,Silver,Unlocked,1
Apple,"iPad 2 16GB WiFi A1395",Non-working,Unknown,16GB,Black,"Not Applicable",29
Apple,"iPad 2 16gb with Wi-Fi + 3G A1396",Working,"Grade B - Good Condition",16GB,White,Unlocked,23
Apple,"iPad 2 32gb with Wi-Fi 3G A1396",Working,"Grade B - Good Condition",32GB,Grey,Unlocked,2
Apple,"iPad 2 32gb with Wi-Fi A1395",Working,"Grade A - Very Good Condition",32GB,Grey,"Not Applicable",4
Apple,"iPad 2 64gb with Wi-Fi + 3G A1396",Working,"Grade B - Good Condition",64GB,Grey,Unlocked,1
Apple,"iPad 2 64gb with Wi-Fi A1395",Working,"Grade B - Good Condition",64GB,Grey,"Not Applicable",2
Apple,"iPad 3 16GB WiFi 4G A1430",Working,"Grade A - Very Good Condition",16GB,Black,Unlocked,6
Apple,"iPad 3 16GB WiFi A1416",Working,"Grade B - Good Condition",16GB,White,"Not Applicable",1
Apple,"iPad 3 32GB Wi-Fi 4G A1430",Working,"Grade B - Good Condition",32GB,Grey,Unlocked,1
Apple,"iPad 3 64GB WiFi 4G A1430","Power On Tested-Good LCD",Unknown,64GB,Grey,Damaged,3
Apple,"iPad 4 16GB Wi-Fi A1458",Working,"Grade C - Acceptable Condition",16GB,White,"Not Applicable",6
Apple,"iPad 4 16GB WiFi + 4G A1459",Working,"Grade A - Very Good Condition",16GB,Black,Unlocked,15
Apple,"iPad 4 32GB WiFi A1458",Working,"Grade C - Acceptable Condition",32GB,Silver,"Not Applicable",2
Apple,"IPAD 4 A1460","Working - Minor Issue","Grade B - Good Condition",16GB,Black,"Not Applicable",3
Apple,"iPad 64gb with Wi-Fi + 3G A1337",Working,"Grade C - Acceptable Condition",64GB,Silver,Unlocked,1
Apple,"IPAD A1455 WIFI + 4G",Non-working,Unknown,16GB,Black,Damaged,2
Apple,"iPad Air 128GB WiFi A1474",Working,"Grade A - Very Good Condition",128GB,Grey,"Not Applicable",1
Apple,"iPad Air 16GB WiFi + 4G A1475",Working,"Grade C - Acceptable Condition",16GB,White,Unlocked,23
Apple,"iPad Air 16GB WiFi A1474",Working,"Grade A - Very Good Condition",16GB,White,Unlocked,9
